"Modifications"	"Proteins"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"Experiment QC02_210326"	"Experiment QC02_210331"	"Experiment QC02_210402"	"Experiment QC02_210406"	"Experiment QC02_210410"	"Experiment QC02_210411"	"Potential contaminant"	"Reverse"
"Unmodified"	"Q9Y2T3"	10896000	14637000	7252300	23279000	22246000	21066000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P12268"	30509000	31855000	23602000	66289000	34762000	58823000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P09960"	26949000	41475000	19390000	66627000	75908000	55728000	2	2	2	2	1	2	NA	NA
"Unmodified"	"P42330;Q04828"	37782000	46149000	19605000	71850000	50479000	62569000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q14696"	25313000	30675000	26484000	56942000	40212000	54229000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P11233;P11234"	2312100	3568300	2937000	6953600	4883400	5507200	1	1	1	1	1	1	NA	NA
"Unmodified"	"CON__P50448"	3122600	2867000	0	0	0	0	1	1	NA	1	NA	NA	"+"	NA
"Unmodified"	"Q9UIG0"	0	0	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"Q9UHI6"	1277400	0	0	0	2314500	2961900	1	NA	NA	NA	1	1	NA	NA
"Unmodified"	"O95155"	0	2784300	0	0	3658400	0	1	1	NA	1	1	NA	NA	NA
"Unmodified"	"Q9UBF2"	2752800	0	3458600	5810800	8070500	5426000	1	NA	1	1	1	1	NA	NA
"Oxidation (M)"	"CON__Q2UVX4"	824210	0	0	711250	1023100	0	1	NA	NA	1	1	NA	"+"	NA
